Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,DRAFT
Elias Valtonen,ASU,20,3.9,0.2,0.5,0.556,0.2,0.4,0.5,0.1,0.1,1,0.3,0.3,0.1,0.3,0.4,0.1,0.1,0.2,0.8,0
Devin Fleming,USC,9,2.1,0.2,0.3,0.667,0,0,0,0.3,0.8,0.429,0.2,0.6,0,0.1,0.1,0.1,0.2,0,0.8,0
David Serge,Cal,5,0.6,0.2,0.2,1,0.2,0.2,1,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0.6,0
Matt Weyand,U of A,4,1.5,0.2,0.2,1,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.5,0
Reagan Lundeen,UW,4,1.2,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0.5,0
Kenny Nwuba,UCLA,17,2.9,0.1,0.4,0.286,0,0,0,0.2,0.4,0.429,0.3,0.9,0.3,0.4,0.6,0.1,0.1,0.1,0.4,0
McKay Anderson,USC,5,1.4,0.2,0.4,0.5,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.4,0
Jacob Orender,Cal,8,1.5,0.1,0.9,0.143,0.1,0.5,0.25,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.4,0
Vitaliy Shibel,ASU,17,3,0.1,0.5,0.222,0.1,0.4,0.286,0,0,0,0.2,0.8,0.1,0.3,0.4,0,0.1,0,0.4,0
Grant Fogerty,ASU,6,1,0.2,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.3,0
Jordan Salzman,ASU,6,1.2,0,0.3,0,0,0,0,0.3,0.7,0.5,0,0,0,0,0,0,0.2,0,0.3,0
Jason Crandall,UW,7,1.3,0.1,0.1,1,0,0,0,0,0,0,0,0,0.3,0.1,0.4,0,0.1,0,0.3,0
Bryan Penn-Johnson,UW,5,2.8,0,0.2,0,0,0,0,0.2,0.8,0.25,0,0.6,0,0.8,0.8,0,0,0.6,0.2,0
Marc Reininger,U of U,7,1.9,0,0.1,0,0,0,0,0.1,0.3,0.5,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0
Brooks King,U of U,7,1.4,0,0.4,0,0,0.4,0,0.1,0.3,0.5,0,0.1,0,0.3,0.3,0,0,0,0.1,0
Armani Dodson,UCLA,7,1.6,0,0,0,0,0,0,0,0,0,0,0.1,0,0.4,0.4,0,0,0.1,0,0
Luke Osborn,UO,7,1.3,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0
Eli Glenzel,OSU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Blake Welle,Cal,3,1,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0
Chuck O'Bannon Jr.,USC,1,10,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Quin Barnard,UW,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Beskind,SU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kory Jones,U of A,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Rice,UW,7,1.1,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0
Trevor Thompson,ASU,5,1.2,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0,0.2,0,0,0
A.J. Martinka,CU,6,1.2,0,0.5,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.7,0,0,0,0,0
Kye Blaser,OSU,3,1,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jules Erving,Cal,3,0.7,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0
Aidan McQuade,CU,6,1.3,0,0.2,0,0,0.2,0,0,0,0,0,0.3,0,0.2,0.2,0,0,0,0,0
Jack Roggin,ASU,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Benan Ersek,CU,6,1.2,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0.2,0.2,0,0,0,0,0
Russell Stong,UCLA,4,1.2,0,0.5,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
Will Johnson,UO,9,1.2,0,0.4,0,0,0.2,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0
Jack Wilson,OSU,7,2.7,0,0.4,0,0,0,0,0,0,0,0.1,0.6,0.1,0,0.1,0,0,0,0,0
Grant Williams,UT,37,31.9,6.3,11.2,0.564,0.4,1.2,0.326,5.8,7,0.819,2.2,3,2.2,5.3,7.5,3.2,1.1,1.5,18.8,1
Quinndary Weatherspoon,MSU,34,34,6.3,12.3,0.508,1.6,4.1,0.396,4.4,5.4,0.809,2.9,2.1,1.3,3.4,4.7,2.8,1.7,0.3,18.5,1
Breein Tyree,UM,33,33.8,6,13,0.459,2.1,5.6,0.375,3.9,4.7,0.831,2.4,2,0.3,2.6,2.9,2.8,1,0.4,17.9,0
